animal_ID,larvae_length_pixel_raw,larvae_length_pixel,tray_width_pixel,larvae_length_mm,treatment_odor,starved,hatch_date,acclimate_start,experiment_start,sex,dead,start_hour,start_min,minutes_past_L
180613-05-bottom,38.451,38,544,5.7,naive_100ul_left_food_extract,1day,180608,16:35,16:50,m,no,16,35,470
180613-05-top,41.173,41,549,6.0,naive_100ul_left_food_extract,1day,180608,16:35,16:50,m,no,16,35,470
180613-06-bottom,44.06,44,538,6.6,naive_100ul_left_food_extract,1day,180608,17:10,17:25,m,no,17,10,505
180613-06-top,42.933,43,557,6.2,naive_100ul_left_food_extract,1day,180608,17:10,17:25,m,no,17,10,505
180613-07-top,45.401,45,550,6.6,naive_100ul_left_food_extract,1day,180608,17:45,18:00,m,no,17,45,540
180614-01-bottom,41.027,41,548,6.0,naive_100ul_left_food_extract,no,180609,12:55,13:10,m,no,12,55,250
180614-01-top,40.041,40,548,5.8,naive_100ul_left_food_extract,no,180609,12:55,13:10,m,no,12,55,250
180614-02-top,44.81399999999999,45,558,6.4,naive_100ul_left_food_extract,no,180609,13:30,13:45,m,no,13,30,285
180614-03-bottom,38.897,39,548,5.7,naive_100ul_left_food_extract,no,180609,14:05,14:20,m,no,14,5,320
180614-03-top,39.966,40,558,5.7,naive_100ul_left_food_extract,no,180609,14:05,14:20,m,no,14,5,320
180614-04-bottom,38.138000000000005,38,538,5.7,naive_100ul_left_food_extract,1day,180609,14:40,14:55,m,no,14,40,355
180614-04-top,43.523,44,557,6.3,naive_100ul_left_food_extract,1day,180609,14:40,14:55,m,no,14,40,355
180614-05-bottom,33.504,34,542,4.9,naive_100ul_left_food_extract,1day,180609,15:15,15:30,m,no,15,15,390
180614-05-top,41.503,42,552,6.0,naive_100ul_left_food_extract,1day,180609,15:15,15:30,m,no,15,15,390
180822-01-top,43.081,43,552,6.2,naive_100ul_left_milliQ_water,1day,180817,15:30,15:45,m,no,15,30,405
180822-02-bottom,40.446999999999996,40,550,5.8,naive_100ul_left_milliQ_water,1day,180817,16:10,16:25,m,no,16,10,445
180822-02-top,38.949,39,552,5.7,naive_100ul_left_milliQ_water,1day,180817,16:10,16:25,m,no,16,10,445
180822-03-bottom,41.037,41,553,5.9,naive_100ul_left_milliQ_water,1day,180817,16:45,17:00,m,no,16,45,480
180822-03-top,38.118,38,560,5.4,naive_100ul_left_milliQ_water,1day,180817,16:45,17:00,m,no,16,45,480
180822-04-bottom,40.311,40,543,5.9,naive_100ul_left_milliQ_water,1day,180817,17:15,17:30,m,no,17,15,510
180822-04-top,43.18600000000001,43,563,6.1,naive_100ul_left_milliQ_water,1day,180817,17:15,17:30,m,no,17,15,510
180822-05-top,38.275,38,556,5.5,naive_100ul_left_milliQ_water,1day,180817,17:50,18:05,m,no,17,50,545
180822-06-bottom,34.482,34,545,5.0,naive_100ul_left_milliQ_water,1day,180817,18:20,18:35,f,no,18,20,575
180822-06-top,41.11,41,563,5.8,naive_100ul_left_milliQ_water,1day,180817,18:20,18:35,f,no,18,20,575
180822-07-bottom,41.869,42,554,6.1,naive_100ul_left_milliQ_water,1day,180817,19:00,19:15,f,no,19,0,615
180822-07-top,38.949,39,559,5.6,naive_100ul_left_milliQ_water,1day,180817,19:00,19:15,m,no,19,0,615
180822-08-bottom,36.359,36,544,5.3,naive_100ul_left_milliQ_water,1day,180817,19:35,19:50,m,no,19,35,650
180822-08-top,38.639,39,562,5.6,naive_100ul_left_milliQ_water,1day,180817,19:35,19:50,m,no,19,35,650
180822-09-bottom,42.059,42,553,6.1,naive_100ul_left_milliQ_water,1day,180817,20:05,20:20,f,no,20,5,680
180822-09-top,39.217,39,556,5.6,naive_100ul_left_milliQ_water,1day,180817,20:05,20:20,f,no,20,5,680
190828-01-top,35.228,35,570,4.9,naive_100ul_left_glucose_10gL,1day,190823,11:55,12:10,m,no,11,55,190
190828-02-top,43.081,43,582,5.9,naive_100ul_left_glucose_10gL,1day,190823,12:31,12:46,m,no,12,31,226
190828-02-bottom,40.46,40,568,5.7,naive_100ul_left_glucose_10gL,1day,190823,12:31,12:46,m,no,12,31,226
190828-03-top,43.012,43,587,5.9,naive_100ul_left_glucose_10gL,1day,190823,13:05,13:20,m,no,13,5,260
190828-03-bottom,41.012,41,572,5.7,naive_100ul_left_glucose_10gL,1day,190823,13:05,13:20,m,no,13,5,260
190828-04-bottom,39.408,39,567,5.6,naive_100ul_left_glucose_10gL,1day,190823,13:39,13:55,m,no,13,39,295
190828-05-bottom,37.336,37,572,5.2,naive_100ul_left_glucose_10gL,1day,190823,14:12,14:29,m,no,14,12,329
190828-06-top,39.051,39,585,5.3,naive_100ul_left_glucose_10gL,1day,190823,14:47,15:03,m,no,14,47,363
190828-06-bottom,43.82899999999999,44,566,6.2,naive_100ul_left_glucose_10gL,1day,190823,14:47,15:03,m,no,14,47,363
190828-07-top,33.525999999999996,34,578,4.6,naive_100ul_left_glucose_10gL,1day,190823,15:22,15:37,m,no,15,22,397
190828-07-bottom,36.069,36,574,5.0,naive_100ul_left_glucose_10gL,1day,190823,15:22,15:37,m,no,15,22,397
190828-08-top,48.332,48,578,6.7,naive_100ul_left_glucose_10gL,1day,190823,15:55,16:10,m,no,15,55,430
190828-08-bottom,41.773,42,563,5.9,naive_100ul_left_glucose_10gL,1day,190823,15:55,16:10,m,no,15,55,430
190828-09-top,42.544,43,581,5.9,naive_100ul_left_glucose_10gL,1day,190823,16:28,16:45,m,no,16,28,465
190828-09-bottom,39.446,39,565,5.6,naive_100ul_left_glucose_10gL,1day,190823,16:28,16:45,m,no,16,28,465
190903-01-top,46.011,46,575,6.4,naive_100ul_left_glucose_10gL,no,190829,10:30,10:45,m,no,10,30,105
190903-01-bottom,53.488,53,555,7.7,naive_100ul_left_glucose_10gL,no,190829,10:30,10:45,f,no,10,30,105
